# p 	 D_TG 	 D_N 	 
10.036789297658864 	 4.3090186382462434e-11 	 3.416903662850826e-11
10.121739130434783 	 4.287704333240591e-11 	 3.4047794757188804e-11
10.206688963210702 	 4.2666341443968677e-11 	 3.392748157677077e-11
10.291638795986621 	 4.2458036497507894e-11 	 3.3808084376146673e-11
10.37658862876254 	 4.225208537077146e-11 	 3.368959086468393e-11
10.461538461538462 	 4.204844600424299e-11 	 3.357198914449814e-11
10.546488294314381 	 4.18470773678206e-11 	 3.3455267685006704e-11
10.631438127090302 	 4.164793942876791e-11 	 3.333941529956137e-11
10.716387959866221 	 4.14509931208803e-11 	 3.32244211239771e-11
10.80133779264214 	 4.12562003148114e-11 	 3.311027459679141e-11
10.88628762541806 	 4.10635237895083e-11 	 3.29969654411036e-11
10.971237458193979 	 4.087292720470649e-11 	 3.288448364785736e-11
11.056187290969898 	 4.068437507443782e-11 	 3.277281946044212e-11
11.14113712374582 	 4.0497832741507576e-11 	 3.266196336050002e-11
11.226086956521739 	 4.031326635289856e-11 	 3.2551906054835885e-11
11.31103678929766 	 4.0130642836062526e-11 	 3.244263846333604e-11
11.395986622073579 	 3.9949929876061105e-11 	 3.233415170781103e-11
11.480936454849498 	 3.97710958935201e-11 	 3.222643710168424e-11
11.565886287625418 	 3.9594110023363325e-11 	 3.211948614045551e-11
11.650836120401337 	 3.941894209429307e-11 	 3.201329049287517e-11
11.735785953177256 	 3.924556260898658e-11 	 3.190784199276939e-11
11.820735785953177 	 3.9073942724978746e-11 	 3.180313263146308e-11
11.905685618729096 	 3.890405423620334e-11 	 3.169915455075098e-11
11.990635451505018 	 3.873586955516561e-11 	 3.159590003637214e-11
12.075585284280937 	 3.856936169572118e-11 	 3.1493361511946774e-11
12.160535117056856 	 3.8404504256436724e-11 	 3.1391531533337695e-11
12.245484949832775 	 3.8241271404509193e-11 	 3.129040278340226e-11
12.330434782608695 	 3.8079637860221725e-11 	 3.11899680671031e-11
12.415384615384614 	 3.791957888191499e-11 	 3.109022030694929e-11
12.500334448160535 	 3.776107025145381e-11 	 3.099115253874114e-11
12.585284280936454 	 3.760408826017e-11 	 3.089275790759486e-11
12.670234113712374 	 3.7448609695262814e-11 	 3.079502966422486e-11
12.755183946488295 	 3.729461182663965e-11 	 3.069796116146335e-11
12.840133779264214 	 3.714207239418027e-11 	 3.0601545850998797e-11
12.925083612040133 	 3.699096959540828e-11 	 3.0505777280316225e-11
13.010033444816054 	 3.684128207355464e-11 	 3.041064908982352e-11
13.094983277591973 	 3.669298890599882e-11 	 3.031615501014969e-11
13.179933110367893 	 3.6546069593072917e-11 	 3.022228885960169e-11
13.264882943143812 	 3.640050404721607e-11 	 3.012904454176783e-11
13.349832775919733 	 3.625627258246563e-11 	 3.003641604325665e-11
13.434782608695652 	 3.6113355904273325e-11 	 2.994439743156105e-11
13.519732441471572 	 3.597173509963409e-11 	 2.98529828530383e-11
13.60468227424749 	 3.583139162751681e-11 	 2.97621665309973e-11
13.689632107023412 	 3.569230730958562e-11 	 2.96719427638852e-11
13.774581939799331 	 3.555446432120179e-11 	 2.95823059235661e-11
13.85953177257525 	 3.5417845182695965e-11 	 2.9493250453684974e-11
13.94448160535117 	 3.5282432750901314e-11 	 2.940477086811094e-11
14.02943143812709 	 3.514821021093845e-11 	 2.931686174945388e-11
14.11438127090301 	 3.501516106824321e-11 	 2.922951774764937e-11
14.19933110367893 	 3.488326914082906e-11 	 2.914273357860704e-11
14.284280936454849 	 3.475251855177571e-11 	 2.9056504022917933e-11
14.36923076923077 	 3.462289372193656e-11 	 2.8970823924616813e-11
14.454180602006689 	 3.449437936285706e-11 	 2.8885688189995534e-11
14.539130434782608 	 3.436696046989719e-11 	 2.88010917864641e-11
14.624080267558528 	 3.4240622315550934e-11 	 2.8717029741456227e-11
14.709030100334449 	 3.411535044295618e-11 	 2.8633497141376348e-11
14.793979933110368 	 3.3991130659588634e-11 	 2.8550489130585367e-11
14.878929765886287 	 3.3867949031133767e-11 	 2.8468000910422724e-11
14.963879598662206 	 3.3745791875530676e-11 	 2.838602773826233e-11
15.048829431438127 	 3.3624645757182355e-11 	 2.8304564926600316e-11
15.133779264214047 	 3.350449748132684e-11 	 2.822360784217252e-11
